Query,Model,Generated Reply,Reference Answer,BLEU Score,Memory Usage (MB),Time Taken (seconds)
What is the definition of Articulation?,t5-small,Articulation is Arrangements enabling students to progress from a completed qualification to another with admission and/or credit in a defined qualification pathway Or qualifying to enter the Bachelor program. created by TEQSA Matriculation is b>Matriculation means being admitted to a university having met the entry requirements to do so. /b> created by NULL - an ability to present Output:,Articulation is Arrangements enabling students to progress from a completed qualification to another with admission and/or credit in a defined qualification pathway  Or qualifying to enter the Bachelor program. created by TEQSA Matriculation is <b>Matriculation means being admitted to a university having met the entry requirements to do so. </b> created by NULL - an ability to present (c)   a level of academic achievement to move from a lower qualification to a higher qualification in nested courses or to articulate from one course to another. Defined in our student contracts as : the person that,0.4856282857186451,38328.3671875,174.2929880619049
What is the definition of Articulation?,google/flan-t5-small,Articulation is Arrangements,Articulation is Arrangements enabling students to progress from a completed qualification to another with admission and/or credit in a defined qualification pathway  Or qualifying to enter the Bachelor program. created by TEQSA Matriculation is <b>Matriculation means being admitted to a university having met the entry requirements to do so. </b> created by NULL - an ability to present (c)   a level of academic achievement to move from a lower qualification to a higher qualification in nested courses or to articulate from one course to another. Defined in our student contracts as : the person that,2.7659670451403658e-14,38328.3671875,174.29328083992004
What is the definition of Articulation?,google/flan-t5-large,Arrangements enabling students to progress from a completed qualification to another with admission and/or credit in a defined qualification pathway,Articulation is Arrangements enabling students to progress from a completed qualification to another with admission and/or credit in a defined qualification pathway  Or qualifying to enter the Bachelor program. created by TEQSA Matriculation is <b>Matriculation means being admitted to a university having met the entry requirements to do so. </b> created by NULL - an ability to present (c)   a level of academic achievement to move from a lower qualification to a higher qualification in nested courses or to articulate from one course to another. Defined in our student contracts as : the person that,0.023517745856009107,38328.3671875,174.29357600212097
What is the definition of Articulation?,google/flan-t5-xxl,Arrangements enabling students to progress from a completed qualification to another with admission and/or credit in a defined qualification pathway Or qualifying to enter the Bachelor program.,Articulation is Arrangements enabling students to progress from a completed qualification to another with admission and/or credit in a defined qualification pathway  Or qualifying to enter the Bachelor program. created by TEQSA Matriculation is <b>Matriculation means being admitted to a university having met the entry requirements to do so. </b> created by NULL - an ability to present (c)   a level of academic achievement to move from a lower qualification to a higher qualification in nested courses or to articulate from one course to another. Defined in our student contracts as : the person that,0.08057889450642294,38328.3671875,174.29394125938416
Which accreditation framework is mentioned under the definition of Doctoral Degree?,t5-small,": ""Doctoral Degree is Course with major research component: comprised of two-thirds or more research leading to a thesis/dissertation OR qualifies individuals who apply a substantial body of knowledge to research, investigate and develop new knowledge, in one or more fields of investigation, scholarship or professional practice. Designed and accredited to enable graduates to demonstrate the learning outcomes specified in the level 10 criteria and the Doctoral Degree. created by AQF (Australia","""Doctoral Degree is Course with major research component: comprised of two-thirds or more research leading to a thesis/dissertation OR qualifies individuals who apply a substantial body of knowledge to research, investigate and develop new knowledge, in one or more fields of investigation, scholarship or professional practice. Two forms of Doctoral Degree with the same descriptor within the Doctoral Degree qualification type: the Doctoral Degree (Research) and the Doctoral Degree (Professional). Research is the defining characteristic of all Doctoral Degree qualifications. The research Doctoral Degree (typically referred to as a Doctor of Philosophy) makes a significant and original contribution to knowledge; the professional Doctoral Degree (typically titled Doctor of [field of study]) makes a significant and original contribution to knowledge in the context of professional practice. Learning outcomes and research may differ between the different forms of Doctoral Degree qualifications. Designed and accredited to enable graduates to demonstrate the learning outcomes specified in the level 10 criteria and the Doctoral Degree. created by AQF (Australian Qualifications Framework)"" Academic Accreditation is Approval process by an accrediting authority of a learning program leading to an AQF qualification using the quality assurance standards for the relevant education and training sector OR the evaluation of a course of study (either by TEQSA or by a self-accrediting provider such as a university) against course requirements specified in the Higher Education Standards Framework. created by AQF (Australian Qualifications Framework) ""Graduate Certificate is Qualifies individuals who apply a body of knowledge in a range of contexts to undertake professional or highly skilled work and as a pathway for further learning. Designed and accredited to enable graduates to demonstrate the learning outcomes expressed as knowledge, skills and the application of knowledge and skills specified in the level 8 criteria and the Graduate Certificate descriptor. Graduate Certificate qualifications are available for accreditation and issuance in both higher education and vocational education and training. created by AQF (Australian Qualifications Framework)"" ""Graduate Diploma is Qualifies individuals who apply a body of knowledge in a range of contexts to undertake professional or highly skilled work and as a pathway for further learning. Designed and accredited to enable graduates to demonstrate the learning outcomes expressed as knowledge, skills and the application of knowledge and skills specified in the level 8 criteria and the Graduate Diploma descriptor. Graduate Diploma qualifications are available for accreditation and issuance in both higher education and vocational education and training. created by AQF (Australian Qualifications Framework)"" ""Diploma (Higher Education Diploma)  is Qualifies individuals who apply integrated technical and theoretical concepts in a broad range of contexts to undertake advanced skilled or paraprofessional work and as a pathway for further learning. Designed and accredited to enable graduates to demonstrate the learning outcomes expressed as knowledge, skills and the application of knowledge and skills specified in the level 5 criteria and the Diploma descriptor. Qualifications are available for accreditation and issuance in both higher education and vocational education and training OR a qualification with learning outcomes that apply integrated technical and theoretical concepts in a broad range of contexts to undertake advanced skilled or paraprofessional work, and as a pathway to further learning. created by AQF (Australian Qualifications Framework)""",0.001710796569240343,44073.515625,182.69981455802917
Which accreditation framework is mentioned under the definition of Doctoral Degree?,google/flan-t5-small,Higher Education Standards Framework,"""Doctoral Degree is Course with major research component: comprised of two-thirds or more research leading to a thesis/dissertation OR qualifies individuals who apply a substantial body of knowledge to research, investigate and develop new knowledge, in one or more fields of investigation, scholarship or professional practice. Two forms of Doctoral Degree with the same descriptor within the Doctoral Degree qualification type: the Doctoral Degree (Research) and the Doctoral Degree (Professional). Research is the defining characteristic of all Doctoral Degree qualifications. The research Doctoral Degree (typically referred to as a Doctor of Philosophy) makes a significant and original contribution to knowledge; the professional Doctoral Degree (typically titled Doctor of [field of study]) makes a significant and original contribution to knowledge in the context of professional practice. Learning outcomes and research may differ between the different forms of Doctoral Degree qualifications. Designed and accredited to enable graduates to demonstrate the learning outcomes specified in the level 10 criteria and the Doctoral Degree. created by AQF (Australian Qualifications Framework)"" Academic Accreditation is Approval process by an accrediting authority of a learning program leading to an AQF qualification using the quality assurance standards for the relevant education and training sector OR the evaluation of a course of study (either by TEQSA or by a self-accrediting provider such as a university) against course requirements specified in the Higher Education Standards Framework. created by AQF (Australian Qualifications Framework) ""Graduate Certificate is Qualifies individuals who apply a body of knowledge in a range of contexts to undertake professional or highly skilled work and as a pathway for further learning. Designed and accredited to enable graduates to demonstrate the learning outcomes expressed as knowledge, skills and the application of knowledge and skills specified in the level 8 criteria and the Graduate Certificate descriptor. Graduate Certificate qualifications are available for accreditation and issuance in both higher education and vocational education and training. created by AQF (Australian Qualifications Framework)"" ""Graduate Diploma is Qualifies individuals who apply a body of knowledge in a range of contexts to undertake professional or highly skilled work and as a pathway for further learning. Designed and accredited to enable graduates to demonstrate the learning outcomes expressed as knowledge, skills and the application of knowledge and skills specified in the level 8 criteria and the Graduate Diploma descriptor. Graduate Diploma qualifications are available for accreditation and issuance in both higher education and vocational education and training. created by AQF (Australian Qualifications Framework)"" ""Diploma (Higher Education Diploma)  is Qualifies individuals who apply integrated technical and theoretical concepts in a broad range of contexts to undertake advanced skilled or paraprofessional work and as a pathway for further learning. Designed and accredited to enable graduates to demonstrate the learning outcomes expressed as knowledge, skills and the application of knowledge and skills specified in the level 5 criteria and the Diploma descriptor. Qualifications are available for accreditation and issuance in both higher education and vocational education and training OR a qualification with learning outcomes that apply integrated technical and theoretical concepts in a broad range of contexts to undertake advanced skilled or paraprofessional work, and as a pathway to further learning. created by AQF (Australian Qualifications Framework)""",7.09488495202222e-58,44073.515625,182.7005021572113
Which accreditation framework is mentioned under the definition of Doctoral Degree?,google/flan-t5-large,Australian Qualifications Framework,"""Doctoral Degree is Course with major research component: comprised of two-thirds or more research leading to a thesis/dissertation OR qualifies individuals who apply a substantial body of knowledge to research, investigate and develop new knowledge, in one or more fields of investigation, scholarship or professional practice. Two forms of Doctoral Degree with the same descriptor within the Doctoral Degree qualification type: the Doctoral Degree (Research) and the Doctoral Degree (Professional). Research is the defining characteristic of all Doctoral Degree qualifications. The research Doctoral Degree (typically referred to as a Doctor of Philosophy) makes a significant and original contribution to knowledge; the professional Doctoral Degree (typically titled Doctor of [field of study]) makes a significant and original contribution to knowledge in the context of professional practice. Learning outcomes and research may differ between the different forms of Doctoral Degree qualifications. Designed and accredited to enable graduates to demonstrate the learning outcomes specified in the level 10 criteria and the Doctoral Degree. created by AQF (Australian Qualifications Framework)"" Academic Accreditation is Approval process by an accrediting authority of a learning program leading to an AQF qualification using the quality assurance standards for the relevant education and training sector OR the evaluation of a course of study (either by TEQSA or by a self-accrediting provider such as a university) against course requirements specified in the Higher Education Standards Framework. created by AQF (Australian Qualifications Framework) ""Graduate Certificate is Qualifies individuals who apply a body of knowledge in a range of contexts to undertake professional or highly skilled work and as a pathway for further learning. Designed and accredited to enable graduates to demonstrate the learning outcomes expressed as knowledge, skills and the application of knowledge and skills specified in the level 8 criteria and the Graduate Certificate descriptor. Graduate Certificate qualifications are available for accreditation and issuance in both higher education and vocational education and training. created by AQF (Australian Qualifications Framework)"" ""Graduate Diploma is Qualifies individuals who apply a body of knowledge in a range of contexts to undertake professional or highly skilled work and as a pathway for further learning. Designed and accredited to enable graduates to demonstrate the learning outcomes expressed as knowledge, skills and the application of knowledge and skills specified in the level 8 criteria and the Graduate Diploma descriptor. Graduate Diploma qualifications are available for accreditation and issuance in both higher education and vocational education and training. created by AQF (Australian Qualifications Framework)"" ""Diploma (Higher Education Diploma)  is Qualifies individuals who apply integrated technical and theoretical concepts in a broad range of contexts to undertake advanced skilled or paraprofessional work and as a pathway for further learning. Designed and accredited to enable graduates to demonstrate the learning outcomes expressed as knowledge, skills and the application of knowledge and skills specified in the level 5 criteria and the Diploma descriptor. Qualifications are available for accreditation and issuance in both higher education and vocational education and training OR a qualification with learning outcomes that apply integrated technical and theoretical concepts in a broad range of contexts to undertake advanced skilled or paraprofessional work, and as a pathway to further learning. created by AQF (Australian Qualifications Framework)""",1.0082158585546849e-77,44073.515625,182.70119714736938
Which accreditation framework is mentioned under the definition of Doctoral Degree?,google/flan-t5-xxl,Australian Qualifications Framework,"""Doctoral Degree is Course with major research component: comprised of two-thirds or more research leading to a thesis/dissertation OR qualifies individuals who apply a substantial body of knowledge to research, investigate and develop new knowledge, in one or more fields of investigation, scholarship or professional practice. Two forms of Doctoral Degree with the same descriptor within the Doctoral Degree qualification type: the Doctoral Degree (Research) and the Doctoral Degree (Professional). Research is the defining characteristic of all Doctoral Degree qualifications. The research Doctoral Degree (typically referred to as a Doctor of Philosophy) makes a significant and original contribution to knowledge; the professional Doctoral Degree (typically titled Doctor of [field of study]) makes a significant and original contribution to knowledge in the context of professional practice. Learning outcomes and research may differ between the different forms of Doctoral Degree qualifications. Designed and accredited to enable graduates to demonstrate the learning outcomes specified in the level 10 criteria and the Doctoral Degree. created by AQF (Australian Qualifications Framework)"" Academic Accreditation is Approval process by an accrediting authority of a learning program leading to an AQF qualification using the quality assurance standards for the relevant education and training sector OR the evaluation of a course of study (either by TEQSA or by a self-accrediting provider such as a university) against course requirements specified in the Higher Education Standards Framework. created by AQF (Australian Qualifications Framework) ""Graduate Certificate is Qualifies individuals who apply a body of knowledge in a range of contexts to undertake professional or highly skilled work and as a pathway for further learning. Designed and accredited to enable graduates to demonstrate the learning outcomes expressed as knowledge, skills and the application of knowledge and skills specified in the level 8 criteria and the Graduate Certificate descriptor. Graduate Certificate qualifications are available for accreditation and issuance in both higher education and vocational education and training. created by AQF (Australian Qualifications Framework)"" ""Graduate Diploma is Qualifies individuals who apply a body of knowledge in a range of contexts to undertake professional or highly skilled work and as a pathway for further learning. Designed and accredited to enable graduates to demonstrate the learning outcomes expressed as knowledge, skills and the application of knowledge and skills specified in the level 8 criteria and the Graduate Diploma descriptor. Graduate Diploma qualifications are available for accreditation and issuance in both higher education and vocational education and training. created by AQF (Australian Qualifications Framework)"" ""Diploma (Higher Education Diploma)  is Qualifies individuals who apply integrated technical and theoretical concepts in a broad range of contexts to undertake advanced skilled or paraprofessional work and as a pathway for further learning. Designed and accredited to enable graduates to demonstrate the learning outcomes expressed as knowledge, skills and the application of knowledge and skills specified in the level 5 criteria and the Diploma descriptor. Qualifications are available for accreditation and issuance in both higher education and vocational education and training OR a qualification with learning outcomes that apply integrated technical and theoretical concepts in a broad range of contexts to undertake advanced skilled or paraprofessional work, and as a pathway to further learning. created by AQF (Australian Qualifications Framework)""",1.0082158585546849e-77,44073.515625,182.7018256187439
Which organization is referenced in the definition of Assessment?,t5-small,": ""Assessment is Assessment is the process of appraising, evaluating and making a judgment about someone's knowledge, skills and ability in order to determine if they have met with and achieved the designated learning outcomes of individual units of study"" ""Assessment is Assessment is the process of appraising, evaluating and making a judgment about someone's knowledge, skills and ability in order to determine if they have met with and achieved the","""Assessment is Assessment is the process of appraising, evaluating and making a judgment about someone's knowledge, skills and ability in order to determine if they have met with and achieved the designated learning outcomes of individual units of study. ""Assessment may be formative or summative and occur via a number of tactics e.g. written and oral tests and examinations; essays; engagement in tutorials and group projects; interviews; observations; class quizzes etc created by TEQSA"""""" Assessment Result is The mark given for an assessment item created by The University of Western Australia ""Examination is Summative assessment where a student is required to undertake a specified academic task within a specified period of time, normally between one and three hours. The location of the examination and access to external assistance is regulated. created by HESA"" ""Credit from Prior Learning is Recognition of Prior Learning is the process of assessment so Credit for Prior Learning will be the outcome of the assessment",0.17113083737158638,47173.20703125,52.46939396858215
Which organization is referenced in the definition of Assessment?,google/flan-t5-small,TEQSA,"""Assessment is Assessment is the process of appraising, evaluating and making a judgment about someone's knowledge, skills and ability in order to determine if they have met with and achieved the designated learning outcomes of individual units of study. ""Assessment may be formative or summative and occur via a number of tactics e.g. written and oral tests and examinations; essays; engagement in tutorials and group projects; interviews; observations; class quizzes etc created by TEQSA"""""" Assessment Result is The mark given for an assessment item created by The University of Western Australia ""Examination is Summative assessment where a student is required to undertake a specified academic task within a specified period of time, normally between one and three hours. The location of the examination and access to external assistance is regulated. created by HESA"" ""Credit from Prior Learning is Recognition of Prior Learning is the process of assessment so Credit for Prior Learning will be the outcome of the assessment",0.0,47173.20703125,52.469728231430054
Which organization is referenced in the definition of Assessment?,google/flan-t5-large,TEQSA,"""Assessment is Assessment is the process of appraising, evaluating and making a judgment about someone's knowledge, skills and ability in order to determine if they have met with and achieved the designated learning outcomes of individual units of study. ""Assessment may be formative or summative and occur via a number of tactics e.g. written and oral tests and examinations; essays; engagement in tutorials and group projects; interviews; observations; class quizzes etc created by TEQSA"""""" Assessment Result is The mark given for an assessment item created by The University of Western Australia ""Examination is Summative assessment where a student is required to undertake a specified academic task within a specified period of time, normally between one and three hours. The location of the examination and access to external assistance is regulated. created by HESA"" ""Credit from Prior Learning is Recognition of Prior Learning is the process of assessment so Credit for Prior Learning will be the outcome of the assessment",0.0,47173.20703125,52.469972133636475
Which organization is referenced in the definition of Assessment?,google/flan-t5-xxl,TEQSA,"""Assessment is Assessment is the process of appraising, evaluating and making a judgment about someone's knowledge, skills and ability in order to determine if they have met with and achieved the designated learning outcomes of individual units of study. ""Assessment may be formative or summative and occur via a number of tactics e.g. written and oral tests and examinations; essays; engagement in tutorials and group projects; interviews; observations; class quizzes etc created by TEQSA"""""" Assessment Result is The mark given for an assessment item created by The University of Western Australia ""Examination is Summative assessment where a student is required to undertake a specified academic task within a specified period of time, normally between one and three hours. The location of the examination and access to external assistance is regulated. created by HESA"" ""Credit from Prior Learning is Recognition of Prior Learning is the process of assessment so Credit for Prior Learning will be the outcome of the assessment",0.0,47173.20703125,52.47021222114563
What is the difference between a Bachelor Degree and a Bachelor Honours Degree with reference to qualification level in the AQF?,t5-small,or answer the question in a detailed manner using simple words and examples.  What is the difference between a Bachelor Degree and a Bachelor Honours Degree with reference to qualification level in the AQF?,"""Bachelor Honours Degree is Qualifies individuals who apply a body of knowledge in a specific context to undertake professional work and as a pathway for research and further learning. Bachelor Honours Degree qualifications are located at level 8 of the Australian Qualifications Framework. Qualifications must be designed and accredited to enable graduates to demonstrate the learning outcomes expressed as knowledge, skills and the application of knowledge and skills specified in the level 8 criteria and the Bachelor Degree descriptor. created by AQF (Australian Qualifications Framework)"" ""Bachelor Degree is Qualifies individuals who apply a broad and coherent body of knowledge in a range of contexts to undertake professional work and as a pathway for further learning. Qualifications must be designed and accredited to enable graduates to demonstrate learning outcomes expressed as knowledge, skills and the application of knowledge and skills specified in the level 7 criteria and the Bachelor Degree descriptor. created by AQF (Australian Qualifications Framework)"" ""Associate Degree  is Qualification type for individuals who apply underpinning technical and theoretical knowledge in a range of contexts to undertake paraprofessional work and as a pathway for further learning. Must be designed and accredited to enable graduates to demonstrate the learning outcomes expressed as knowledge, skills and the application of knowledge and skills specified in the level 6 criteria and the Associate Degree descriptor OR lower level undergraduate degree usually completed in two years. created by AQF (Australian Qualifications Framework)"" ""Diploma (Higher Education Diploma)  is Qualifies individuals who apply integrated technical and theoretical concepts in a broad range of contexts to undertake advanced skilled or paraprofessional work and as a pathway for further learning. Designed and accredited to enable graduates to demonstrate the learning outcomes expressed as knowledge, skills and the application of knowledge and skills specified in the level 5 criteria and the Diploma descriptor. Qualifications are available for accreditation and issuance in both higher education and vocational education and training OR a qualification with learning outcomes that apply integrated technical and theoretical concepts in a broad range of contexts to undertake advanced skilled or paraprofessional work, and as a pathway to further learning. created by AQF (Australian Qualifications Framework)"" ""Graduate Certificate is Qualifies individuals who apply a body of knowledge in a range of contexts to undertake professional or highly skilled work and as a pathway for further learning. Designed and accredited to enable graduates to demonstrate the learning outcomes expressed as knowledge, skills and the application of knowledge and skills specified in the level 8 criteria and the Graduate Certificate descriptor. Graduate Certificate qualifications are available for accreditation and issuance in both higher education and vocational education and training. created by AQF (Australian Qualifications Framework)""",4.2721745262526575e-07,49425.0625,120.00701522827148
What is the difference between a Bachelor Degree and a Bachelor Honours Degree with reference to qualification level in the AQF?,google/flan-t5-small,Bachelor Honours Degree qualifications are located at level 8,"""Bachelor Honours Degree is Qualifies individuals who apply a body of knowledge in a specific context to undertake professional work and as a pathway for research and further learning. Bachelor Honours Degree qualifications are located at level 8 of the Australian Qualifications Framework. Qualifications must be designed and accredited to enable graduates to demonstrate the learning outcomes expressed as knowledge, skills and the application of knowledge and skills specified in the level 8 criteria and the Bachelor Degree descriptor. created by AQF (Australian Qualifications Framework)"" ""Bachelor Degree is Qualifies individuals who apply a broad and coherent body of knowledge in a range of contexts to undertake professional work and as a pathway for further learning. Qualifications must be designed and accredited to enable graduates to demonstrate learning outcomes expressed as knowledge, skills and the application of knowledge and skills specified in the level 7 criteria and the Bachelor Degree descriptor. created by AQF (Australian Qualifications Framework)"" ""Associate Degree  is Qualification type for individuals who apply underpinning technical and theoretical knowledge in a range of contexts to undertake paraprofessional work and as a pathway for further learning. Must be designed and accredited to enable graduates to demonstrate the learning outcomes expressed as knowledge, skills and the application of knowledge and skills specified in the level 6 criteria and the Associate Degree descriptor OR lower level undergraduate degree usually completed in two years. created by AQF (Australian Qualifications Framework)"" ""Diploma (Higher Education Diploma)  is Qualifies individuals who apply integrated technical and theoretical concepts in a broad range of contexts to undertake advanced skilled or paraprofessional work and as a pathway for further learning. Designed and accredited to enable graduates to demonstrate the learning outcomes expressed as knowledge, skills and the application of knowledge and skills specified in the level 5 criteria and the Diploma descriptor. Qualifications are available for accreditation and issuance in both higher education and vocational education and training OR a qualification with learning outcomes that apply integrated technical and theoretical concepts in a broad range of contexts to undertake advanced skilled or paraprofessional work, and as a pathway to further learning. created by AQF (Australian Qualifications Framework)"" ""Graduate Certificate is Qualifies individuals who apply a body of knowledge in a range of contexts to undertake professional or highly skilled work and as a pathway for further learning. Designed and accredited to enable graduates to demonstrate the learning outcomes expressed as knowledge, skills and the application of knowledge and skills specified in the level 8 criteria and the Graduate Certificate descriptor. Graduate Certificate qualifications are available for accreditation and issuance in both higher education and vocational education and training. created by AQF (Australian Qualifications Framework)""",9.137872601482542e-22,49425.0625,120.0076801776886
